epoch,accuracy,loss,lr,val_accuracy,val_loss,val_macro_f1
0,0.2943972945213318,1.1608201265335083,0.00016,0.3163659870624542,1.383296251296997,0.2557963914540506
1,0.3438030481338501,1.0666499137878418,0.00032,0.3769329786300659,1.0689308643341064,0.31910792905046653
2,0.3538200259208679,1.0540441274642944,0.00048,0.3640463948249817,1.1020594835281372,0.3238195776672255
3,0.37962648272514343,1.01803457736969,0.00064,0.311855673789978,1.2763135433197021,0.23970513318585981
4,0.39134126901626587,0.993836522102356,0.0008,0.4039948582649231,0.9836652874946594,0.3751829531300703
5,0.419524610042572,0.9600589275360107,0.0008,0.40979382395744324,0.999259889125824,0.3605857179251674
6,0.42988115549087524,0.944879949092865,0.0007997816,0.4110824763774872,0.9782643914222717,0.35285992315931475
7,0.4354838728904724,0.9316475987434387,0.0007991265,0.4458763003349304,0.9049397706985474,0.3987598944902433
8,0.4497453272342682,0.9082322120666504,0.00079803565,0.43621134757995605,0.9312332272529602,0.41215570786427186
9,0.459762305021286,0.920978844165802,0.00079651,0.39819586277008057,1.0344841480255127,0.35845345529499945
10,0.4682512879371643,0.8984655737876892,0.00079455134,0.469072163105011,0.8869221210479736,0.4498783673000417
11,0.47215619683265686,0.9040124416351318,0.0007921618,0.4774484634399414,0.8783369660377502,0.4487675478164985
12,0.4728353023529053,0.8987853527069092,0.00078934396,0.5,0.8073341846466064,0.4905853555354162
13,0.47249576449394226,0.8797472715377808,0.000786101,0.5077319741249084,0.8319506049156189,0.4720760995968741
14,0.4930390417575836,0.8847745060920715,0.0007824363,0.4929123818874359,0.8508839011192322,0.4741344386381672
15,0.5025466680526733,0.8561140298843384,0.000778354,0.46971648931503296,0.868154764175415,0.4235101178562725
16,0.5125636458396912,0.8332364559173584,0.0007738585,0.500644326210022,0.9021984934806824,0.4852582290680348
17,0.5096774101257324,0.8398145437240601,0.00076895475,0.4819587767124176,0.9140344262123108,0.4323031659118361
18,0.520203709602356,0.8333881497383118,0.00076364813,0.5167526006698608,0.8287617564201355,0.4930018669265413
19,0.5171477198600769,0.8163597583770752,0.00075794436,0.5289948582649231,0.8341270685195923,0.49592069303238256
20,0.5276740193367004,0.8236963152885437,0.0007518498,0.5451030731201172,0.7729701995849609,0.5372009248195999
21,0.5222411155700684,0.8457334041595459,0.000745371,0.48131442070007324,0.8527683615684509,0.4492812885847071
22,0.5353140830993652,0.7984381914138794,0.00073851505,0.5103092789649963,0.8299209475517273,0.5009441635789884
23,0.539898157119751,0.7998502254486084,0.0007312895,0.5167526006698608,0.8528242111206055,0.49192517735189156
24,0.5560271739959717,0.781872570514679,0.0007237023,0.5599226951599121,0.7462589144706726,0.5512728543554208
25,0.5643463730812073,0.763282835483551,0.0007157616,0.3885309398174286,1.0568187236785889,0.3474542599448664
26,0.5507640242576599,0.7881306409835815,0.0007074762,0.5444587469100952,0.7732711434364319,0.5309830621909354
27,0.5441426038742065,0.795950174331665,0.0006988552,0.5747422575950623,0.7335090041160583,0.5699610188300303
28,0.5544991493225098,0.7881561517715454,0.0006899079,0.5270618796348572,0.8115943670272827,0.5155316810229881
29,0.5604414343833923,0.78102707862854,0.0006806441,0.5715206265449524,0.7526488900184631,0.5541012905912418
30,0.5721561908721924,0.7605730891227722,0.00067107397,0.5135309100151062,0.8067154288291931,0.49303833055801216
31,0.586757242679596,0.7284780740737915,0.000661208,0.49226805567741394,0.8829138278961182,0.48204132884320244
32,0.5881154537200928,0.7402170300483704,0.00065105694,0.5985824465751648,0.6996922492980957,0.5917215004936532
33,0.6042444705963135,0.7021557092666626,0.00064063194,0.5715206265449524,0.7487325668334961,0.5534709391886768
34,0.6103565096855164,0.6978195905685425,0.0006299443,0.5902062058448792,0.7078419923782349,0.585294010889987
35,0.5979626774787903,0.7165652513504028,0.00061900576,0.5625,0.7241094708442688,0.5554945986854255
36,0.6217317581176758,0.6793199777603149,0.0006078283,0.5135309100151062,0.8740273714065552,0.4630780048759515
37,0.6146010160446167,0.6982958316802979,0.0005964242,0.5695876479148865,0.7494199872016907,0.5486358392663601
38,0.6217317581176758,0.6908875703811646,0.0005848058,0.5895618796348572,0.7264874577522278,0.5852236633624038
39,0.6152801513671875,0.7055093050003052,0.00057298585,0.594072163105011,0.7025200128555298,0.5832269792716023
40,0.6363327503204346,0.6750931143760681,0.0005609773,0.5573453903198242,0.8136864304542542,0.5449836966988253
